,,,,IMG,,UTM,,,,,,,,
ID,CAMERA,FILE,COLOR,X,Y,X,Y,,,,,,,
41,CAM3,20260504_1200,FIJO,4285,1597,"706345,448","4217992,162",,,,,,,
42,CAM3,20260526_0730,A,322,2099,"706398,558","4218092,176",,,,,,,
43,CAM3,20260526_0730,A,1903,1747,"706399,135","4218052,245",,,,,,,
44,CAM3,20260526_0730,V,434,2260,"706389,731","4218097,486",,,,,,,
45,CAM3,20260526_0730,V,738,2138,"706391,3","4218091,977",,,,,,,
46,CAM3,20260526_0730,A,1528,1946,"706390,448","4218077,821",,,,,,,
47,CAM3,20260526_0730,A,1002,2165,"706386,201","4218092,704",,,,,,,
48,CAM3,20260526_0730,V,1817,1964,"706384,634","4218078,531",,,,,,,
49,CAM3,20260526_0730,A,2645,2240,"706367,2","4218090,259",,,,,,,
50,CAM3,20260526_0730,V,3097,2233,"706363,127","4218088,788",,,,,,,
51,CAM3,20260526_0730,A,4235,2070,"706352,754","4218077,269",,,,,,,
1,CAM4,20260513_0800,V,1552,1592,"706401,772","4218247,83",,,,,,,
2,CAM4,20260513_0800,A,1677,1619,"706402,278","4218236,353",,,,,,,
3,CAM4,20260513_0800,V,1836,1646,"706402,571","4218224,614",,,,,,,
4,CAM4,20260513_0800,A,2028,1675,"706405,009","4218215,532",,,,,,,
5,CAM4,20260513_0800,V,2199,1703,"706406,972","4218208,626",,,,,,,
6,CAM4,20260513_0800,A,2405,1748,"706406,156","4218197,088",,,,,,,
7,CAM4,20260513_0800,A,2615,1809,"706404,62","4218186,198",,,,,,,
8,CAM4,20260513_0800,A,2922,1887,"706403,604","4218175,216",,,,,,,
9,CAM4,20260513_0800,A,3204,1962,"706402,277","4218166,516",,,,,,,
10,CAM4,20260513_0800,V,3621,2063,"706402,191","4218158,45",,,,,,,
11,CAM4,20260513_0815,V,1423,1585,"706396,123","4218245,342",,,,,,,
12,CAM4,20260513_0815,A,1498,1607,"706396,075","4218237,019",,,,,,,
13,CAM4,20260513_0815,V,1630,1640,"706395,756","4218224,08",,,,,,,
14,CAM4,20260513_0815,A,1761,1675,"706396,099","4218214,907",,,,,,,
15,CAM4,20260513_0815,V,1874,1700,"706396,377","4218207,992",,,,,,,
16,CAM4,20260513_0815,A,2138,1748,"706398,816","4218197,927",,,,,,,
17,CAM4,20260513_0815,A,2295,1804,"706396,522","4218187,087",,,,,,,
18,CAM4,20260513_0815,A,2668,1884,"706397,479","4218175,392",,,,,,,
19,CAM4,20260513_0815,A,2840,1958,"706395,302","4218168,004",,,,,,,
20,CAM4,20260513_0815,V,3217,2073,"706394,257","4218158,814",,,,,,,
21,CAM4,20260513_0830,V,1480,1685,"706386,377","4218210,775",,,,,,,
22,CAM4,20260513_0830,A,1672,1932,"706376,327","4218173,192",,,,,,,
23,CAM4,20260513_0830,A,2210,1922,"706385,681","4218172,833",,,,,,,
24,CAM4,20260513_0830,A,2560,1915,"706392,422","4218172,331",,,,,,,
25,CAM4,20260513_0830,V,3247,2106,"706392,707","4218156,852",,,,,,,
26,CAM4,20260513_0830,V,2556,2363,"706384,938","4218148,399",,,,,,,
27,CAM4,20260513_0830,A,2483,2092,"706382,402","4218160,315",,,,,,,
28,CAM4,20260513_0830,A,3383,2322,"706375,877","4218150,189",,,,,,,
29,CAM4,20260513_0830,V,3911,2297,"706392,331","4218147,159",,,,,,,
31,CAM4,20260504_1200,FIJO,987,2048,"706365,058","4218165,534",,,,,,,
32,CAM4,20260504_1200,FIJO,737,1706,"706367,58","4218202,38",,,,,,,
33,CAM4,20260504_1200,FIJO,881,1669,"706371,998","4218211,723",,,,,,,
34,CAM4,20260504_1200,FIJO,1029,1664,"706375,244","4218211,722",,,,,,,
35,CAM4,20260504_1200,FIJO,1120,1681,"706377,216","4218211,16",,,,,,,
36,CAM4,20260504_1200,FIJO,1332,2045,"706369,11","4218165,359",,,,,,,
37,CAM4,20260504_1200,FIJO,1105,2508,"706363,275","4218151,96",,,,,,,
38,CAM4,20260504_1200,FIJO,130,2585,"706356,671","4218143,664",,,,,,,
39,CAM4,20260504_1200,FIJO,410,2249,"706358,237","4218149,612",,,,,,,
40,CAM4,20260504_1200,FIJO,325,1979,"706358,207","4218159,851",,,,,,,
41,CAM4,20260526_0710,A,2246,2362,"706373,311","4218151,505",,,,,,,
42,CAM4,20260526_0710,V,2504,2295,"706377,122","4218152,797",,,,,,,
43,CAM4,20260526_0710,V,2645,2357,"706377,142","4218150,328",,,,,,,
44,CAM4,20260526_0710,A,1987,1635,"706411,317","4218230,408",,,,,,,
45,CAM4,20260526_0710,V,2132,1659,"706411,808","4218220,911",,,,,,,
46,CAM4,20260526_0710,A,2247,1694,"706410,406","4218211,666",,,,,,,
47,CAM4,20260526_0710,A,2328,1721,"706408,629","4218204,485",,,,,,,
48,CAM4,20260526_0710,V,2471,1757,"706407,474","4218195,769",,,,,,,
49,CAM4,20260526_0710,A,2851,1851,"706405,363","4218179,072",,,,,,,
50,CAM4,20260526_0710,A,3075,1904,"706404,946","4218172,161",,,,,,,
1,CAM5,20260504_1110,V,1365,1699,"706338,408","4216892,366",,,,,,,
2,CAM5,20260504_1110,V,1850,1595,"706338,649","4216875,293",,,,,,,
3,CAM5,20260504_1120,V,2239,1529,"706336,421","4216858,921",,,,,,,
4,CAM5,20260504_1120,V,2567,1480,"706333,438","4216842,162",,,,,,,
5,CAM5,20260504_1130,V,2972,1414,"706328,859","4216812,458",,,,,,,
6,CAM5,20260504_1130,V,3153,1381,"706326,889","4216792,181",,,,,,,
7,CAM5,20260504_1140,V,3351,1389,"706315,694","4216804,911",,,,,,,
8,CAM5,20260504_1140,V,3541,1402,"706306,92","4216814,736",,,,,,,
9,CAM5,20260504_1150,V,3137,1440,"706317,766","4216829,705",,,,,,,
10,CAM5,20260504_1150,V,3488,1441,"706305,887","4216832,623",,,,,,,
11,CAM5,20260512_0845,A,173,1892,"706342,778","4216913,979",,,,,,,
12,CAM5,20260512_0845,A,804,1767,"706343,274","4216902,131",,,,,,,
13,CAM5,20260512_0845,A,1157,1715,"706341,372","4216895,359",,,,,,,
14,CAM5,20260512_0845,A,1762,1619,"706339,06","4216878,365",,,,,,,
15,CAM5,20260512_0845,A,2033,1564,"706337,601","4216868,601",,,,,,,
16,CAM5,20260512_0845,A,2257,1520,"706338,944","4216853,777",,,,,,,
17,CAM5,20260512_0845,V,2440,1479,"706338,671","4216841,012",,,,,,,
18,CAM5,20260512_0845,V,2605,1453,"706336,807","4216830,567",,,,,,,
19,CAM5,20260512_0845,V,2781,1424,"706334,614","4216816,85",,,,,,,
20,CAM5,20260512_0845,V,2898,1406,"706333,638","4216806,983",,,,,,,
21,CAM5,20260512_0845,ANDY,3020,1386,"706332,092","4216794,913",,,,,,,
22,CAM5,20260512_0900,A,538,1895,"706334,677","4216913,554",,,,,,,
23,CAM5,20260512_0900,A,999,1774,"706336,382","4216903,648",,,,,,,
24,CAM5,20260512_0900,A,1418,1726,"706332,703","4216896,886",,,,,,,
25,CAM5,20260512_0900,A,1951,1631,"706331,143","4216881,404",,,,,,,
26,CAM5,20260512_0900,A,2381,1544,"706328,289","4216865,503",,,,,,,
27,CAM5,20260512_0900,A,2602,1507,"706327,214","4216853,509",,,,,,,
28,CAM5,20260512_0900,V,2797,1478,"706325,061","4216842,809",,,,,,,
29,CAM5,20260512_0900,V,2968,1446,"706323,184","4216831,501",,,,,,,
30,CAM5,20260512_0900,V,3069,1408,"706324,691","4216814,449",,,,,,,
31,CAM5,20260512_0900,V,3151,1388,"706325,557","4216797,773",,,,,,,
32,CAM5,20260512_0915,V,2685,1489,"706326,598","4216848,56",,,,,,,
33,CAM5,20260512_0915,A,2879,1490,"706320,276","4216848,534",,,,,,,
34,CAM5,20260512_0915,V,3148,1491,"706312,364","4216848,317",,,,,,,
35,CAM5,20260512_0915,V,3431,1484,"706304,585","4216847,61",,,,,,,
36,CAM5,20260512_0915,V,3767,1471,"706296,405","4216846,876",,,,,,,
37,CAM5,20260512_0915,A,1847,1666,"706329,436","4216887,925",,,,,,,
38,CAM5,20260512_0915,A,2155,1676,"706321,564","4216888,652",,,,,,,
39,CAM5,20260512_0915,A,2483,1675,"706314,126","4216889,043",,,,,,,
40,CAM5,20260512_0915,A,3134,1670,"706302,176","4216888,722",,,,,,,
41,CAM5,20260512_0915,A,3814,1670,"706291,869","4216888,623",,,,,,,
42,CAM5,20260512_0930,A,1536,1728,"706330,119","4216896,864",,,,,,,
43,CAM5,20260512_0930,A,2252,1741,"706315,146","4216896,027",,,,,,,
44,CAM5,20260512_0930,V,2775,1760,"706305,215","4216897,818",,,,,,,
45,CAM5,20260512_0930,A,3349,1745,"706296,88","4216897,059",,,,,,,
46,CAM5,20260512_0930,A,4264,1749,"706286,104","4216896,738",,,,,,,
47,CAM5,20260512_0930,A,257,2021,"706330,145","4216920,313",,,,,,,
48,CAM5,20260512_0930,A,980,2138,"706315,957","4216921,388",,,,,,,
49,CAM5,20260512_0930,V,2256,2087,"706303,035","4216917,234",,,,,,,
50,CAM5,20260512_0930,V,3237,2157,"706293,606","4216917,737",,,,,,,
51,CAM5,20260512_0930,V,4120,2410,"706287,181","4216922,559",,,,,,,
52,CAM5,20260504_1110,FIJO,3659,1641,"706294,823",4216884,,,,,,,
53,CAM5,20260504_1110,FIJO,4196,1488,"706286,402","4216858,716",,,,,,,
54,CAM5,20260504_1110,FIJO,4221,1403,"706285,525","4216827,591",,,,,,,
55,CAM5,20260504_1110,FIJO,4408,1488,"706282,39","4216859,799",,,,,,,
56,CAM5,20260504_1110,FIJO,2559,1579,"706319,925","4216872,82",,,,,,,
57,CAM5,20260526_0820,A,1015,1751,"706341,468","4216898,787",,,,,,,
58,CAM5,20260526_0820,V,1256,1679,"706344,218","4216889,883",,,,,,,
59,CAM5,20260526_0820,A,1451,1620,"706347,55","4216880,168",,,,,,,
60,CAM5,20260526_0820,V,1699,1579,"706346,473","4216871,526",,,,,,,
61,CAM5,20260526_0820,V,2538,1454,"706340,199","4216830,179",,,,,,,
1,CAM6,20260504_1000,V,3351,2378,"706307,572","4216972,173",,,,,,,
2,CAM6,20260504_1000,V,3902,1869,"706340,787","4216995,796",,,,,,,
3,CAM6,20260504_1020,V,3144,1842,"706329,614","4217004,115",,,,,,,
4,CAM6,20260504_1020,V,4212,1996,"706333,051","4216983,272",,,,,,,
5,CAM6,20260504_1040,V,2499,1682,"706333,959","4217039,691",,,,,,,
6,CAM6,20260504_1040,V,3012,1733,"706341,172","4217023,732",,,,,,,
7,CAM6,20260504_1100,V,2194,1625,"706334,867","4217067,069",,,,,,,
8,CAM6,20260504_1100,V,2340,1650,"706336,621","4217057,728",,,,,,,
9,CAM6,20260512_0800,A,1783,1560,"706344,404","4217123,971",,,,,,,
10,CAM6,20260512_0800,V,1880,1569,"706344,684","4217113,404",,,,,,,
11,CAM6,20260512_0800,A,1974,1582,"706345,067","4217102,688",,,,,,,
12,CAM6,20260512_0800,V,2098,1602,"706345,5","4217084,371",,,,,,,
13,CAM6,20260512_0800,V,2375,1631,"706347,538","4217066,323",,,,,,,
14,CAM6,20260512_0800,A,2454,1656,"706346,611","4217049,394",,,,,,,
15,CAM6,20260512_0800,A,2632,1718,"706342,749","4217028,035",,,,,,,
16,CAM6,20260512_0800,A,2956,1787,"706345,006","4217014,044",,,,,,,
17,CAM6,20260512_0800,V,3539,1892,"706345,574","4216997,321",,,,,,,
18,CAM6,20260512_0800,A,4275,2035,"706344,213","4216981,379",,,,,,,
19,CAM6,20260512_0745,A,1955,1559,"706335,305","4217124,135",,,,,,,
20,CAM6,20260512_0745,V,2027,1568,"706337,019","4217112,769",,,,,,,
21,CAM6,20260512_0745,A,2104,1581,"706338,461","4217102,406",,,,,,,
22,CAM6,20260512_0745,V,2261,1601,"706338,02","4217084,426",,,,,,,
23,CAM6,20260512_0745,V,2494,1624,"706342,594","4217066,288",,,,,,,
24,CAM6,20260512_0745,A,2698,1658,"706337,696","4217050,717",,,,,,,
25,CAM6,20260512_0745,A,2968,1711,"706332,24","4217029,175",,,,,,,
26,CAM6,20260512_0745,V,3996,1849,"706331,628","4216995,261",,,,,,,
27,CAM6,20260512_0815,V,1040,1628,"706295,1","4217070,673",,,,,,,
28,CAM6,20260512_0815,A,1349,1631,"706305,107","4217070,47",,,,,,,
29,CAM6,20260512_0815,V,1563,1630,"706312,397","4217070,194",,,,,,,
30,CAM6,20260512_0815,A,1756,1631,"706319,248","4217069,757",,,,,,,
31,CAM6,20260512_0815,V,1973,1631,"706327,203","4217068,927",,,,,,,
32,CAM6,20260512_0815,V,1024,1777,"706291,713","4217024,898",,,,,,,
33,CAM6,20260512_0815,A,1599,1779,"706303,314","4217022,995",,,,,,,
34,CAM6,20260512_0815,A,1929,1774,"706310,822","4217022,99",,,,,,,
35,CAM6,20260512_0815,A,2328,1768,"706320,242","4217021,854",,,,,,,
36,CAM6,20260512_0815,A,2675,1741,"706330,512","4217023,376",,,,,,,
37,CAM6,20260512_0815,FIJO,2130,1959,"706305,618","4216996,931",,,,,,,
38,CAM6,20260512_0815,FIJO,95,1910,"706278,429","4217002,504",,,,,,,
39,CAM6,20260512_0815,FIJO,783,1581,"706287,491","4217099,931",,,,,,,
40,CAM6,20260512_0815,FIJO,1136,1555,"706301,298","4217109,608",,,,,,,
41,CAM6,20260512_0815,FIJO,1028,1581,"706296,063","4217094,046",,,,,,,
42,CAM6,20260512_0815,FIJO,1186,1576,"706302,012","4217094,306",,,,,,,
43,CAM6,20260512_0815,FIJO,1249,1539,"706310,548","4217147,635",,,,,,,
44,CAM6,20260512_0815,FIJO,1392,1598,"706309,124","4217088,933",,,,,,,
45,CAM6,20260512_0945,V,426,2225,"706283,693","4216984,417",,,,,,,
46,CAM6,20260512_0945,V,809,2194,"706287,392","4216984,76",,,,,,,
47,CAM6,20260512_0945,V,1364,2166,"706292,513","4216984,627",,,,,,,
48,CAM6,20260512_0945,A,1828,2145,"706297,371","4216984,705",,,,,,,
49,CAM6,20260512_0945,A,2285,2121,"706302,842","4216984,844",,,,,,,
50,CAM6,20260512_0945,A,2724,2104,"706308,681","4216984,702",,,,,,,
51,CAM6,20260512_0945,A,3160,2085,"706314,78","4216984,209",,,,,,,
52,CAM6,20260512_0945,V,3603,2080,"706320,948","4216982,866",,,,,,,
53,CAM6,20260512_0945,A,3987,2047,"706327,51","4216982,46",,,,,,,
54,CAM6,20260512_0945,A,4291,2024,"706332,419","4216981,55",,,,,,,
55,CAM6,20260526_0800,A,561,2096,"706284,997","4216990,929",,,,,,,
